match_id,map,game_start,agent,kills,deaths,assists,score,shots_total,hs_percent,kd_ratio,total_engagements,win
3a1f3ec3-bdea-4403-9a3f-b39eec9b7cc9,Sunset,2024-12-04T19:58:31.404Z,Reyna,21,15,2,4984,54,27.77777777777778,1.4,38,0.0
14cc7985-2c6a-4c3c-ad28-34a872d2274b,Ascent,2024-12-03T21:39:19.779Z,Reyna,8,15,3,2498,23,30.434782608695656,0.5333333333333333,26,0.0
b0eb0486-f418-45b7-847a-2ce0251af129,Sunset,2024-12-01T19:29:45.054Z,Jett,12,13,1,3601,33,27.27272727272727,0.9230769230769231,26,0.0
59d111c6-2487-4096-80c2-4f8695598a57,Haven,2024-11-30T23:04:58.25Z,Chamber,23,15,2,6294,46,34.78260869565217,1.5333333333333334,40,0.0
ef644c9d-ebc1-4dab-95a4-8ab0e31a6d13,Split,2024-11-30T20:18:49.659Z,Reyna,12,8,2,3056,30,40.0,1.5,22,1.0
ccd9b2b4-a54e-4b43-8401-cfc6bd5c0064,Split,2024-11-28T00:33:26.072Z,Omen,18,11,5,4503,46,26.08695652173913,1.6363636363636365,34,1.0
30289058-a2f8-4399-b942-c31c54471f49,Bind,2024-11-27T06:06:05.604Z,Reyna,24,20,3,6955,62,30.64516129032258,1.2,47,1.0
8ec21907-62fb-4e3d-90a7-71452de16a28,Haven,2024-11-27T05:04:49.284Z,Jett,18,12,3,5188,42,33.33333333333333,1.5,33,1.0
2e1b55ec-47db-4c24-84e9-ea420ed89574,Split,2024-11-24T22:13:31.96Z,Reyna,23,22,3,6639,71,25.352112676056336,1.0454545454545454,48,1.0
16966aba-e506-4583-9a37-0b880b30cdf3,Bind,2024-11-24T03:57:35.904Z,Raze,16,19,5,5193,88,10.227272727272728,0.8421052631578947,40,1.0
ebb7f963-5cf1-4719-b814-9b3891e1e6d5,Ascent,2024-11-24T03:22:17.33Z,Sova,15,12,4,4252,44,29.545454545454547,1.25,31,1.0
e7f6b52c-d685-4289-863b-57a458376fb2,Ascent,2024-11-16T02:32:16.842Z,Reyna,11,15,0,2992,34,29.411764705882355,0.7333333333333333,26,0.0
5289b888-cf7d-4944-bcb8-b8f918ea73ae,Abyss,2024-11-12T21:23:08.819Z,Reyna,10,7,2,2923,43,11.627906976744185,1.4285714285714286,19,1.0
576839f4-02e4-4171-b535-cda142f65675,Haven,2024-11-12T20:54:21.721Z,Chamber,10,16,1,2709,32,25.0,0.625,27,0.0
7d827344-a22a-4285-bd24-c4fd3738ef94,Sunset,2024-11-09T04:28:41.527Z,Reyna,18,17,7,5633,58,31.03448275862069,1.0588235294117647,42,0.0
a8dc243a-6bf9-4995-add0-2653ce4f1260,Sunset,2024-11-02T16:24:43.969Z,Chamber,16,13,2,4427,44,22.727272727272727,1.2307692307692308,31,1.0
f5487bd4-aee5-4115-a12f-f2d1a1bf2cdd,Split,2024-10-29T22:38:30.464Z,Chamber,10,13,3,3005,30,20.0,0.7692307692307693,26,0.0
cc1520f3-b014-45e2-91de-e57dde964d12,Sunset,2024-10-27T16:59:08.746Z,Reyna,26,20,3,7231,63,31.746031746031743,1.3,49,0.0
fa2ac3b8-29b6-4cf3-8987-fa1695efe5f8,Pearl,2024-10-23T19:58:43.611Z,Chamber,22,19,7,6477,70,22.857142857142858,1.1578947368421053,48,0.0
2edee9c2-8c61-411b-8a50-63c8fbb400f1,Haven,2024-10-12T21:45:58.151Z,Chamber,16,16,11,5128,79,8.860759493670885,1.0,43,1.0
e4e0acfb-0105-4b57-adb0-856e5b6eff7e,Ascent,2024-10-01T20:47:27.559Z,Reyna,22,12,5,6285,71,19.718309859154928,1.8333333333333333,39,1.0
0e3f0391-4c1b-4adc-b6a3-1001c9bbeb26,Bind,2024-09-25T21:26:47.393Z,Chamber,13,13,5,4044,36,36.11111111111111,1.0,31,0.0
ddb8178c-d5eb-4fb6-943a-5f113ee31b54,Abyss,2024-09-21T23:39:08.102Z,Chamber,11,18,8,3455,39,33.33333333333333,0.6111111111111112,37,0.0
90b4f2c1-06d5-46c0-a1c7-4412d69d0448,Bind,2024-09-01T02:32:10.871Z,Chamber,12,19,3,3839,35,17.142857142857142,0.631578947368421,34,0.0
f4d26cd2-6291-49b1-b6c2-2b666154f142,Lotus,2024-08-29T01:33:16.733Z,Chamber,3,14,3,1109,14,28.57142857142857,0.21428571428571427,20,0.0
c3290fec-ecc2-4834-9c52-4b63b74a342a,Icebox,2024-08-29T00:54:31.7Z,Reyna,20,18,0,5410,49,22.448979591836736,1.1111111111111112,38,0.0
0dad79e0-a021-4e4c-b3c4-7b5d5f674400,Sunset,2024-06-29T16:11:04.673Z,Chamber,4,15,2,1834,23,21.73913043478261,0.26666666666666666,21,0.0
875f3b8c-96de-4aa7-93df-5aabb967fbae,Breeze,2024-06-09T16:39:49.112Z,Fade,35,19,4,10446,0,0.0,1.8421052631578947,58,
9108b1f6-29d2-4ded-a3bb-3ba7189fbacf,Sunset,2024-05-22T04:10:13.244Z,Jett,11,16,1,3363,36,27.77777777777778,0.6875,28,0.0
8f27f2ea-87af-4d39-9904-57283d500624,Lotus,2024-05-20T20:44:50.589Z,Jett,13,14,2,3637,35,14.285714285714285,0.9285714285714286,29,1.0
e77217fb-ce9d-4161-bcc5-60a55c87bd1a,Lotus,2024-05-09T23:46:25.432Z,Reyna,25,18,3,6930,75,26.666666666666668,1.3888888888888888,46,1.0
834370ad-e9e2-4cf7-9f6e-65c2248dba69,Icebox,2024-05-09T23:08:39.696Z,Chamber,23,12,1,6018,43,32.55813953488372,1.9166666666666667,36,1.0
9e97a975-7e6c-474b-8978-4d02c1bfdefc,Ascent,2024-05-08T02:58:27.443Z,Chamber,17,17,4,4189,37,13.513513513513514,1.0,38,1.0
ada11afa-f9a0-4693-bdc2-c3208f6da2b5,Breeze,2024-04-28T05:34:19.414Z,Chamber,1,2,0,413,3,33.33333333333333,0.5,3,0.0
ae4f3291-25ca-4a8f-904b-4ccb8b776b38,Sunset,2024-04-28T05:25:21.151Z,Jett,4,4,0,1337,15,33.33333333333333,1.0,8,0.0
6f5a464c-afad-4fe3-a71a-c7fe3c6d5c69,Split,2024-04-16T21:03:59.384Z,Jett,18,17,2,5308,53,22.641509433962266,1.0588235294117647,37,0.0
ec50a28a-1405-4204-a4ae-e215d4a11318,Lotus,2024-04-16T20:31:55.549Z,Chamber,17,11,2,4590,40,22.5,1.5454545454545454,30,1.0
d426a99a-dc45-4f17-9287-0d395b9aa374,Ascent,2024-04-14T22:42:04.487Z,Phoenix,18,10,5,4679,49,14.285714285714285,1.8,33,1.0
f6d88104-852f-47a8-bc24-af390746887d,Split,2024-04-08T00:08:59.782Z,Jett,18,16,0,5088,31,54.83870967741935,1.125,34,1.0
f9928a48-8e6f-45ab-acd6-0a19c840a6ab,Bind,2024-04-07T21:32:44.69Z,Reyna,23,19,1,6250,59,27.11864406779661,1.2105263157894737,43,0.0
